geoid,month,evictions
4013111502,2024-10,12
4013111502,2024-11,3
4013111502,2024-12,3
4013111601,2022-01,1
4013111601,2022-02,2
4013111601,2022-03,1
4013111601,2022-04,2
4013111601,2022-05,2
4013111601,2022-07,2
4013111601,2022-08,5
4013111601,2022-09,4
4013111601,2022-10,2
4013111601,2022-12,3
4013111601,2023-01,1
4013111601,2023-02,3
4013111601,2023-03,5
4013111601,2023-04,3
4013111601,2023-06,1
4013111601,2023-07,2
4013111601,2023-08,2
4013111601,2023-09,3
4013111601,2023-11,1
4013111601,2023-12,4
4013111601,2024-01,4
4013111601,2024-04,2
4013111601,2024-05,1
4013111601,2024-06,5
4013111601,2024-07,5
4013111601,2024-08,3
4013111601,2024-09,2
4013111601,2024-10,3
4013111601,2024-12,3
4013111602,2022-02,2
4013111602,2022-03,11
4013111602,2022-04,7
4013111602,2022-05,5
4013111602,2022-06,4
4013111602,2022-07,12
4013111602,2022-08,8
4013111602,2022-09,7
4013111602,2022-10,7
4013111602,2022-11,3
4013111602,2022-12,1
4013111602,2023-01,8
4013111602,2023-02,2
4013111602,2023-03,10
4013111602,2023-04,6
4013111602,2023-05,5
4013111602,2023-06,3
4013111602,2023-07,8
4013111602,2023-08,6
4013111602,2023-09,13
4013111602,2023-10,11
4013111602,2023-11,7
4013111602,2023-12,12
4013111602,2024-01,7
4013111602,2024-02,11
4013111602,2024-03,9
4013111602,2024-04,8
4013111602,2024-05,6
4013111602,2024-06,5
4013111602,2024-07,11
4013111602,2024-08,11
4013111602,2024-09,12
4013111602,2024-10,11
4013111602,2024-11,3
4013111602,2024-12,8
4013111700,2022-02,1
4013111700,2022-03,1
4013111700,2022-06,1
4013111700,2022-07,1
4013111700,2022-08,1
4013111700,2022-09,2
4013111700,2022-11,3
4013111700,2023-01,5
4013111700,2023-02,3
4013111700,2023-03,3
4013111700,2023-04,4
4013111700,2023-06,3
4013111700,2023-07,3
4013111700,2023-08,4
4013111700,2023-09,2
4013111700,2023-10,4
4013111700,2023-11,3
4013111700,2024-01,2
4013111700,2024-02,1
4013111700,2024-03,4
4013111700,2024-04,4
4013111700,2024-05,1
4013111700,2024-06,3
4013111700,2024-07,5
4013111700,2024-08,3
4013111700,2024-09,1
4013111700,2024-10,2
4013111700,2024-11,2
4013111700,2024-12,1
4013111800,2022-01,2
4013111800,2022-02,5
4013111800,2022-04,2
4013111800,2022-05,4
4013111800,2022-06,1
4013111800,2022-07,3
4013111800,2022-08,7
4013111800,2022-09,4
4013111800,2022-10,2
4013111800,2022-11,3
4013111800,2022-12,4
4013111800,2023-01,5
4013111800,2023-02,5
4013111800,2023-03,5
4013111800,2023-04,3
4013111800,2023-05,1
4013111800,2023-06,6
